data_type,regime,Xdim,ydim,nsamples,learning_algo,lr,update_noise,label_noise,loss,active,active_units,log_tau,eig_sum,eig_max,eig_nonzero,link,sim_len
predictive,rich,19,5,7,SGD,0.1,0.04941713361323833,0.0,-1.6252917571508523,0.02102102102102102,0.014492753623188404,-4.4351502299504855,0.34277114234799905,1.020713591440907,0.008153846153846154,C:\Users\avivra\Dropbox (Technion Dropbox)\avivratzon\drift_reg_proj/outputs//random/966/\plot.html,9999999
predictive,lazy,19,18,11,SGD,0.1,0.0,0.13257113655901093,-2.8583819312714627,0.7462,1.0,0.0,0.4426007428863565,0.5576934093459902,0.38184615384615384,C:\Users\avivra\Dropbox (Technion Dropbox)\avivratzon\drift_reg_proj/outputs//random/967/\plot.html,9999999
random,lazy,10,12,13,SGD,0.1,0.015998587196060583,0.0,-2.7750689466336693,0.06102236421725239,0.272972972972973,-6.035522858682862,1.1872846433760822,1.1535055159714918,0.13873913043478261,C:\Users\avivra\Dropbox (Technion Dropbox)\avivratzon\drift_reg_proj/outputs//random/968/\plot.html,9999999
predictive,rich,15,3,3,SGD,0.1,0.02442053094548651,0.0,-1.8457486550769642,0.02127659574468085,0.029411764705882346,-5.013571916762203,0.2387546338965792,1.024877758516913,0.015032258064516127,C:\Users\avivra\Dropbox (Technion Dropbox)\avivratzon\drift_reg_proj/outputs//random/969/\plot.html,9999999
random,rich,1,6,7,SGD,0.1,0.01,0.0,-3.654758837117532,0.21921921921921922,0.3999999999999999,-6.176865950060411,1.5458645362252112,0.981291354279397,0.16125,C:\Users\avivra\Dropbox (Technion Dropbox)\avivratzon\drift_reg_proj/outputs//random/97/\plot.html,9999999
random,rich,16,9,4,SGD,0.1,0.012648552168552958,0.0,-3.686030035237212,0.03431372549019609,0.06666666666666667,-5.829334668487796,0.3938371646121274,1.085099684928084,0.032461538461538465,C:\Users\avivra\Dropbox (Technion Dropbox)\avivratzon\drift_reg_proj/outputs//random/971/\plot.html,9999999
random,rich,15,14,14,SGD,0.1,0.030888435964774818,0.0,-1.4033340140225952,0.019975031210986267,0.07500000000000001,-6.024875289891176,0.543309618811246,1.1271739945288266,0.0451,C:\Users\avivra\Dropbox (Technion Dropbox)\avivratzon\drift_reg_proj/outputs//random/973/\plot.html,9999999
random,lazy,8,14,13,SGD,0.1,0.016768329368110083,0.0,-2.775195692211393,0.0721476510067114,0.25,-6.033244572669541,0.9588568903571894,1.131817118323149,0.14669565217391306,C:\Users\avivra\Dropbox (Technion Dropbox)\avivratzon\drift_reg_proj/outputs//random/974/\plot.html,9999999
smoothed,rich,13,15,7,SGD,0.1,0.0,0.3237457542817644,-2.091638289474173,0.6635514018691588,0.7999999999999998,-6.331375394542404,0.2130811579911392,0.82179210913629,0.3184137931034483,C:\Users\avivra\Dropbox (Technion Dropbox)\avivratzon\drift_reg_proj/outputs//random/975/\plot.html,9999999
random,lazy,17,18,9,SGD,0.1,0.0,0.3237457542817644,-2.0615167731431825,0.6165413533834586,0.9863013698630136,-18.335333146504716,0.35384182456024504,0.7132854302382039,0.38208333333333333,C:\Users\avivra\Dropbox (Technion Dropbox)\avivratzon\drift_reg_proj/outputs//random/977/\plot.html,9999999
random,lazy,2,16,15,SGD,0.1,0.1,0.0,-1.0887479423593478,0.01915708812260536,0.014705882352941173,-4.702802347174383,0.3680059535651588,0.9227387218508548,0.009631578947368422,C:\Users\avivra\Dropbox (Technion Dropbox)\avivratzon\drift_reg_proj/outputs//random/978/\plot.html,9999999
random,lazy,11,15,9,SGD,0.1,0.014563484775012436,0.0,-2.6656986422863893,0.05936073059360731,0.18421052631578952,-5.964991827426797,0.7845451306557755,1.17823482087631,0.09962962962962964,C:\Users\avivra\Dropbox (Technion Dropbox)\avivratzon\drift_reg_proj/outputs//random/979/\plot.html,9999999
random,lazy,1,7,5,SGD,0.1,0.012648552168552958,0.0,-3.2297742808688854,0.14374999999999996,0.3140625,-6.465221249028098,1.0662657738128565,0.9442233402086218,0.12488888888888887,C:\Users\avivra\Dropbox (Technion Dropbox)\avivratzon\drift_reg_proj/outputs//random/98/\plot.html,9999999
predictive,lazy,9,19,11,SGD,0.1,0.0,0.10985411419875583,-2.9429985615390977,0.6889305816135084,1.0,0.0,0.3419861235262217,0.3544035763787625,0.37615789473684214,C:\Users\avivra\Dropbox (Technion Dropbox)\avivratzon\drift_reg_proj/outputs//random/980/\plot.html,9999999
random,rich,17,19,12,SGD,0.1,0.0,0.15264179671752334,-2.7236042093556705,0.6666666666666667,0.9634146341463415,-1.6274611321499082,0.33033217105056406,0.4560740005533288,0.425972972972973,C:\Users\avivra\Dropbox (Technion Dropbox)\avivratzon\drift_reg_proj/outputs//random/981/\plot.html,9999999
